State,District,Party,Margin,Lean,Minority,Nat_Margin,Year,Fresh,Calculated_C6,Year1,Midterm,Avg_Def,DefxParty,DefxLean,DefxMin,DefxNat_Margin,DefxYear1,DefxFresh,DefxMid,Has_Pres,DefxHas_Pres,Avg_Def_Adj,Abs_lean
NJ,2,0,26.01053314,-4.4333303,0,-8,2006,0,1.312769763,4,1,17.9104478,0,-30.89981423,0,-55.75910143,27.87955071,0,6.969887678,1,6.969887678,6.969887678,4.4333303
NJ,2,0,32.39389396,-4.4333303,0,2.6,2004,0,1.146329287,2,0,18.0623974,0,-26.62883839,0,15.61692343,12.01301802,0,0,1,6.00650901,6.00650901,4.4333303
CT,5,0,-12.92721897,-4.4333313,0,-8,2006,0,-0.90490924,4,1,17.0464135,0,-27.06927089,0,-48.84682703,24.42341351,0,6.105853378,1,6.105853378,6.105853378,4.4333313
CT,5,0,21.61330552,-4.4333313,0,2.6,2004,0,0.596001012,2,0,16.6524338,0,-20.37800864,0,11.95101807,9.193090821,0,0,1,4.59654541,4.59654541,4.4333313
WI,3,1,12.9446183,4.4333343,1,-2.6,2004,0,-0.289899877,2,0,13.8252757,1.307344575,5.795895544,1.307344575,-3.399095894,2.614689149,0,0,0,0,1.307344575,4.4333343
WI,3,1,29.67189899,4.4333343,1,8,2006,0,0.250441024,4,1,14.0916808,0.658457365,2.91916162,0.658457365,5.267658918,2.633829459,0,0.658457365,0,0,0.658457365,4.4333343
NC,13,1,17.5779366,4.4333363,1,-2.6,2004,1,0.519780993,2,0,10.9414758,-1.576455325,-6.98895662,-1.576455325,4.098783846,-3.152910651,-1.576455325,0,0,0,-1.576455325,4.4333363
NC,13,1,27.42790638,4.4333363,1,8,2006,0,0.107541307,4,1,11.9502075,-1.483015935,-6.574708379,-1.483015935,-11.86412748,-5.932063741,0,-1.483015935,0,0,-1.483015935,4.4333363
WI,7,0,19.86790089,4.43359,0,5.7,2014,0,-0.092191152,12,1,8.9395267,0,4.694650767,0,6.035630126,12.70658974,0,1.058882478,0,0,1.058882478,4.43359
IL,16,0,24.78732945,4.48,1,-10.6,2008,0,1.101120801,6,0,13.3841132,0,-7.807079885,-1.74265176,18.47210866,-10.45591056,0,0,1,-1.74265176,-1.74265176,4.48
IL,16,0,33.96393136,4.48,1,6.8,2010,0,0.584695779,8,1,15.0990099,0,-9.25161674,-2.065093022,-14.04263255,-16.52074418,0,-2.065093022,0,0,-2.065093022,4.48
MI,9,0,18.21722661,4.5,0,4.8,2002,0,-0.27383748,0,1,6.3607925,0,-13.93448699,0,-14.86345279,0,0,-3.096552664,1,-3.096552664,-3.096552664,4.5
PA,8,0,25.18422874,-4.5,0,4.8,2002,0,0.880197925,0,1,13.2196162,0,-16.93021966,0,18.05890097,0,0,3.762271036,1,3.762271036,3.762271036,4.5
MN,1,0,26.8458016,4.5,0,4.8,2002,0,0.481580702,0,1,14.3003064,0,21.79332556,0,23.24621393,0,0,4.842961236,1,4.842961236,4.842961236,4.5
AZ,8,0,29.73736205,4.5,0,4.8,2002,0,0.906800068,0,1,10.7833164,0,5.966870561,0,6.364661932,0,0,1.325971236,1,1.325971236,1.325971236,4.5
CA,45,0,32.50806917,4.5,0,4.8,2002,0,1.233986888,0,1,10.1694915,0,3.204658511,0,3.418302412,0,0,0.712146336,1,0.712146336,0.712146336,4.5
MI,8,0,37.12320629,4.5,0,4.8,2002,1,2.713761823,0,1,8.190091,0,-5.702643739,0,-6.082819988,0,-1.267254164,-1.267254164,1,-1.267254164,-1.267254164,4.5
MN,8,1,37.41613279,4.5,1,-4.8,2002,0,1.073286662,0,1,20.7991803,1.417962983,6.380833425,1.417962983,-6.80622232,0,0,1.417962983,0,0,1.417962983,4.5
NC,7,1,43.80692933,-4.5,1,-4.8,2002,0,1.403541707,0,1,25.0259605,5.644743183,-25.40134433,5.644743183,-27.09476728,0,0,5.644743183,0,0,5.644743183,4.5
KY,3,1,10.67205877,4.52,0,-6.8,2010,0,0.163553566,8,1,4.6221112,-2.31960695,-10.48462341,0,15.77332726,-18.5568556,0,-2.31960695,1,-2.31960695,-2.31960695,4.52
KY,3,1,18.73081516,4.52,0,10.6,2008,1,-0.247562889,6,0,4.884742,-0.80185791,-3.624397753,0,-8.499693845,-4.81114746,-0.80185791,0,0,0,-0.80185791,4.52
AZ,8,0,24.16309762,4.5666667,0,2.6,2004,0,0.451386092,2,0,13.434089,0,6.293782833,0,3.583321587,2.756401221,0,0,1,1.37820061,1.37820061,4.5666667
WI,8,0,30.06674757,4.56697,0,5.7,2014,0,0.828893042,12,1,11.1952862,0,15.13787048,0,18.89345928,39.77570374,0,3.314641978,0,0,3.314641978,4.56697
FL,8,1,-17.8978769,-4.58,0,-6.8,2010,1,-2.841987008,8,1,5.7249533,-1.21676485,5.572783011,0,8.274000977,-9.734118796,-1.21676485,-1.21676485,1,-1.21676485,-1.21676485,4.58
FL,8,0,-4.021134728,4.58,1,-10.6,2008,0,-1.050143683,6,0,13.4668893,0,-7.602230523,-1.65987566,17.594682,-9.959253961,0,0,1,-1.65987566,-1.65987566,4.58
NY,19,1,4.650084825,-4.58,0,-6.8,2010,0,0.215549248,8,1,5.6410256,-1.30069255,5.957171877,0,8.844709337,-10.4055404,0,-1.30069255,1,-1.30069255,-1.30069255,4.58
NY,19,1,11.65642258,-4.58,0,10.6,2008,1,-0.346084879,6,0,5.2060738,-0.48052611,2.200809584,0,-5.093576765,-2.88315666,-0.48052611,0,0,0,-0.48052611,4.58
NJ,3,0,-1.294663951,4.7,0,-8.6,2018,0,-0.919321143,16,1,10.6365159,0,18.84523852,0,-34.48277687,64.15400347,0,4.009625217,1,4.009625217,4.009625217,4.7
NJ,3,0,20.4444309,4.7,0,1.1,2016,1,0.705259898,14,0,12.2119816,0,18.77023895,0,4.393034648,55.91135006,3.993667862,0,0,0,3.993667862,4.7
MI,6,0,11.97971761,4.73339,0,-1.2,2012,0,-0.173367974,10,0,16.9787765,0,3.508744492,0,-0.889530208,7.412751732,0,0,0,0,0.741275173,4.73339
NY,25,0,-4.143222281,-4.7666663,0,-8,2006,0,-0.666133049,4,1,9.6137339,0,6.324537838,0,10.61460977,-5.307304887,0,-1.326826222,1,-1.326826222,-1.326826222,4.7666663
WA,2,1,28.32340662,4.7666683,1,8,2006,0,0.161435808,4,1,12.037037,-1.396186435,-6.655157622,-1.396186435,-11.16949148,-5.584745741,0,-1.396186435,0,0,-1.396186435,4.7666683
WA,2,1,30.33011033,4.7666683,1,-2.6,2004,0,1.143962734,2,0,11.4864865,-1.031444625,-4.9165544,-1.031444625,2.681756026,-2.062889251,0,0,0,0,-1.031444625,4.7666683
TX,25,1,40.95848835,4.7666723,1,8,2006,0,1.367582221,4,1,10.6598985,-2.773324935,-13.21953115,-2.773324935,-22.18659948,-11.09329974,0,-2.773324935,0,0,-2.773324935,4.7666723
WA,3,0,23.06448273,4.86674,0,5.7,2014,0,0.192051683,12,1,10.7466063,0,13.94789228,0,16.33598385,34.39154494,0,2.865962078,0,0,2.865962078,4.86674
OH,6,1,-5.033199562,-4.98,0,-6.8,2010,0,-1.470980558,8,1,5.562579,-1.37913915,6.868112965,0,9.378146217,-11.0331132,0,-1.37913915,1,-1.37913915,-1.37913915,4.98
OH,6,1,29.44509201,-4.98,0,10.6,2008,1,2.841064294,6,0,5.7273769,0.04077699,-0.20306941,0,0.432236095,0.24466194,0.04077699,0,0,0,0.04077699,4.98
NV,4,0,-4.008711811,-5,0,1.1,2016,1,-1.394560299,14,0,6.404321,0,9.069963692,0,-1.995392012,-25.39589834,-1.813992738,0,0,0,-1.813992738,5
WI,1,0,29.28245645,5.08,1,-10.6,2008,0,1.690630869,6,0,11.1232279,0,-20.33796827,-4.00353706,42.43749284,-24.02122236,0,0,1,-4.00353706,-4.00353706,5.08
WI,1,0,38.1053534,5.08,1,6.8,2010,0,0.933058506,8,1,13.4422111,0,-18.90721046,-3.721891822,-25.30886439,-29.77513458,0,-3.721891822,0,0,-3.721891822,5.08
PA,8,0,-0.607644796,-5.1000003,0,-8,2006,1,0.122889707,4,1,19.7802198,0,-45.08226701,0,-70.71727743,35.35863871,8.839659678,8.839659678,1,8.839659678,8.839659678,5.1000003
NH,2,0,-7.104007911,-5.1000023,0,-8,2006,0,-0.578714495,4,1,15.7718121,0,-24.6393962,0,-38.65001583,19.32500791,0,4.831251978,1,4.831251978,4.831251978,5.1000023
NH,2,0,20.08202466,-5.1000023,0,2.6,2004,0,0.609643025,2,0,14.5469659,0,-12.70450103,0,6.476801527,4.982155021,0,0,1,2.49107751,2.49107751,5.1000023
CT,5,1,6.494109263,5.13325,1,-5.7,2014,1,-0.197462009,12,1,16.2436548,-1.10164431,-5.655015655,-1.10164431,6.279372567,-13.21973172,-1.10164431,-1.10164431,1,-1.10164431,-1.10164431,5.13325
PA,7,0,24.07783094,5.1334,0,5.7,2014,0,0.367671302,12,1,7.8529657,0,-0.142084924,0,-0.157767574,-0.332142261,0,-0.027678522,0,0,-0.027678522,5.1334
NH,2,0,-4.830554189,-5.16673,0,-1.2,2012,1,-0.325176581,10,0,23.4955186,0,-37.50021559,0,-8.709620728,72.58017273,7.258017273,0,0,0,7.258017273,5.16673
CA,45,0,9.347633716,5.18,1,6.8,2010,0,-0.919477464,8,1,17.7128651,0,2.84258808,0.548762178,3.731582808,4.390097422,0,0.548762178,0,0,0.548762178,5.18
CA,45,0,16.58201599,5.18,1,-10.6,2008,0,0.351729323,6,0,17.1541057,0,10.50162503,2.02734074,-21.48981184,12.16404444,0,0,1,2.02734074,2.02734074,5.18
NH,2,1,15.01760695,5.22,0,10.6,2008,1,-1.156080897,6,0,4.6892039,-0.99739601,-5.206407172,0,-10.57239771,-5.98437606,-0.99739601,0,0,0,-0.99739601,5.22
OH,14,0,18.50256869,5.2333317,0,-8,2006,0,0.720259328,4,1,12.6603935,0,9.000458537,0,-13.75866703,6.879333513,0,1.719833378,1,1.719833378,1.719833378,5.2333317
OH,14,0,25.4967856,5.2333317,0,2.6,2004,0,0.485838452,2,0,14.2491468,0,11.47804877,0,5.702471867,4.386516821,0,0,1,2.19325841,2.19325841,5.2333317
NY,19,0,-9.820946962,5.2333347,0,-8,2006,0,-1.2259898,4,1,15.6646909,0,24.72295753,0,-37.79304623,18.89652311,0,4.724130778,1,4.724130778,4.724130778,5.2333347
NY,19,0,21.06783424,5.2333347,0,2.6,2004,0,0.162233023,2,0,15.3719008,0,17.35380281,0,8.621632267,6.632024821,0,0,1,3.31601241,3.31601241,5.2333347
TX,27,1,17.85681614,-5.2333357,1,8,2006,0,-0.077189964,4,1,18.1419807,4.708757265,-24.6425075,4.708757265,37.67005812,18.83502906,0,4.708757265,0,0,4.708757265,5.2333357
TX,27,1,28.23427361,-5.2333357,1,-2.6,2004,0,1.146171568,2,0,15.8504007,3.332469575,-17.43993199,3.332469575,-8.664420894,6.664939149,0,0,0,0,3.332469575,5.2333357
NJ,4,0,32.48760156,5.2333377,0,-8,2006,0,1.309215058,4,1,17.6470588,0,35.09737237,0,-53.65198943,26.82599471,0,6.706498678,1,6.706498678,6.706498678,5.2333377
NJ,4,0,34.72229467,5.2333377,0,2.6,2004,0,0.960823149,2,0,16.8067227,0,24.8627203,0,12.35216921,9.501668621,0,0,1,4.75083431,4.75083431,5.2333377
FL,22,0,-9.253811436,-5.2667,0,-1.2,2012,1,-0.784145718,10,0,15.2933833,0,4.972386412,0,1.132941632,-9.441180268,-0.944118027,0,0,0,-0.944118027,5.2667
CA,21,0,15.51817549,-5.26686,0,-1.2,2012,0,0.620173399,10,0,12.4450031,0,19.97455721,0,4.550997872,-37.92498227,0,0,0,0,-3.792498227,5.26686
NY,20,1,-1.527160413,-5.28,0,-6.8,2010,1,0.04274711,8,1,14.0145985,7.07288035,-37.34480825,0,-48.09558638,56.5830428,7.07288035,7.07288035,1,7.07288035,7.07288035,5.28
NY,20,1,23.6218167,-5.28,0,10.6,2008,1,1.327111178,6,0,8.034188,2.34758809,-12.39526512,0,24.88443375,14.08552854,2.34758809,0,0,0,2.34758809,5.28
NY,25,1,10.46968411,5.32,0,-6.8,2010,1,0.714343393,8,1,7.063197,0.12147885,0.646267484,0,-0.826056183,0.971830804,0.12147885,0.12147885,1,0.12147885,0.12147885,5.32
NY,22,0,15.3332215,5.33323,0,-1.2,2012,0,-0.000793044,10,0,21.8628719,0,30.0013951,0,-6.750444688,56.25370573,0,0,0,0,5.625370573,5.33323
NY,13,1,3.767899807,-5.38,0,-6.8,2010,1,0.554571667,8,1,10.756723,3.81500485,-20.5247261,0,-25.94203298,30.5200388,3.81500485,3.81500485,1,3.81500485,3.81500485,5.38
NY,3,0,17.43882224,5.38,1,-10.6,2008,0,0.329394454,6,0,20.4859194,0,28.83225089,5.35915444,-56.80703706,32.15492664,0,0,1,5.35915444,5.35915444,5.38
NY,3,0,43.24103182,5.38,1,6.8,2010,0,0.854695089,8,1,20.4334365,0,17.58901465,3.269333578,22.23146833,26.15466862,0,3.269333578,0,0,3.269333578,5.38
IL,17,1,20.61602129,5.39,1,-1.1,2016,0,0.109798541,14,0,15.3146323,1.154774035,6.224232049,1.154774035,-1.270251439,16.16683649,0,0,1,1.154774035,1.154774035,5.39
IL,17,1,24.18682998,5.39,1,8.6,2018,0,-0.195150663,16,1,16.1801501,0.533837714,2.877385277,0.533837714,4.591004338,8.54140342,0,0.533837714,0,0,0.533837714,5.39
ME,2,1,10.26316875,5.42,0,-6.8,2010,0,-0.034896195,8,1,8.4249084,1.48319025,8.038891157,0,-10.0856937,11.865522,0,1.48319025,1,1.48319025,1.48319025,5.42
IL,12,1,23.29789596,5.42,0,-6.8,2010,0,1.616933286,8,1,7.8795644,0.93784625,5.083126677,0,-6.377354503,7.502770004,0,0.93784625,1,0.93784625,0.93784625,5.42
ME,2,1,34.87074643,5.42,0,10.6,2008,0,1.520112045,6,0,6.0704607,0.38386079,2.080525482,0,4.068924375,2.30316474,0,0,0,0,0.38386079,5.42
IL,12,1,46.45131648,5.42,0,10.6,2008,0,3.011289727,6,0,6.9101124,1.22351249,6.631437696,0,12.96923239,7.34107494,0,0,0,0,1.22351249,5.42
CA,47,1,20.76151605,5.4333293,1,-2.6,2004,0,0.314429646,2,0,9.8484848,-2.669446325,-14.50398094,-2.669446325,6.940560446,-5.338892651,0,0,0,0,-2.669446325,5.4333293
CA,47,1,24.66179135,5.4333293,1,8,2006,0,-0.200005255,4,1,10.9660574,-2.467166035,-13.40492551,-2.467166035,-19.73732828,-9.868664141,0,-2.467166035,0,0,-2.467166035,5.4333293
FL,22,0,-3.756934529,-5.4333343,0,-8,2006,0,-0.58724466,4,1,9.4387755,0,8.159697897,0,12.01427697,-6.007138487,0,-1.501784622,1,-1.501784622,-1.501784622,5.4333343
FL,22,0,27.49131146,-5.4333343,0,2.6,2004,0,1.578116765,2,0,10.4651163,0,8.643196558,0,-4.136007433,-3.181544179,0,0,1,-1.59077209,-1.59077209,5.4333343
NY,23,0,17.91723081,5.46663,0,5.7,2014,0,-0.350157048,12,1,10.0259291,0,11.72747867,0,12.22812381,25.74341854,0,2.145284878,0,0,2.145284878,5.46663
MI,1,1,32.295416,-5.48,0,10.6,2008,0,1.96411537,6,0,7.3399558,1.65335589,-9.060390278,0,17.52557243,9.92013534,0,0,0,0,1.65335589,5.48
CA,45,0,-4.102014812,5.5,0,-8.6,2018,0,-4.224815676,16,1,3.113879,0,-19.32156426,0,30.21190047,-56.20818693,0,-3.513011683,1,-3.513011683,-3.513011683,5.5
CA,45,0,17.11950335,5.5,0,1.1,2016,1,0.950310462,14,0,4.964539,0,-17.89576106,0,-3.579152212,-45.55284634,-3.253774738,0,0,0,-3.253774738,5.5
MI,7,0,21.04210884,5.5,0,4.8,2002,0,0.033764252,0,1,10.9808102,0,8.379057697,0,7.312632172,0,0,1.523465036,1,1.523465036,1.523465036,5.5
CT,2,1,22.5433566,5.5,1,8.6,2018,0,-0.33179875,16,1,14.7058824,-0.940429986,-5.172364924,-0.940429986,-8.087697882,-15.04687978,0,-0.940429986,0,0,-0.940429986,5.5
CT,2,1,22.72805724,5.5,1,-1.1,2016,0,0.271479948,14,0,13.6850153,-0.474842965,-2.611636307,-0.474842965,0.522327261,-6.647801508,0,0,1,-0.474842965,-0.474842965,5.5
NY,25,0,27.91674341,-5.5,0,4.8,2002,0,1.490967526,0,1,10.1147028,0,-3.615466997,0,3.155316652,0,0,0.657357636,1,0.657357636,0.657357636,5.5
OR,4,1,29.46208645,-5.5,1,-4.8,2002,0,0.958582848,0,1,22.4210526,3.039835283,-16.71909406,3.039835283,-14.59120936,0,0,3.039835283,0,0,3.039835283,5.5
OH,1,0,29.59842741,5.5,0,4.8,2002,0,1.084474591,0,1,8.2317073,0,-6.741008253,0,-5.883061748,0,0,-1.225637864,1,-1.225637864,-1.225637864,5.5
OK,2,1,48.24377974,-5.5,1,-4.8,2002,1,1.957780281,0,1,23.1568017,3.775584383,-20.76571411,3.775584383,-18.12280504,0,3.775584383,3.775584383,0,0,3.775584383,5.5
NJ,5,1,13.68053462,-5.51,1,8.6,2018,1,-0.033214466,16,1,25.229741,9.583428614,-52.80469166,9.583428614,82.41748608,153.3348578,9.583428614,9.583428614,0,0,9.583428614,5.51
VA,10,0,19.65211601,5.53328,0,-1.2,2012,0,0.231947614,10,0,17.9310345,0,9.370793237,0,-2.032239808,16.93533173,0,0,0,0,1.693533173,5.53328
NJ,5,0,-4.411298752,5.54,0,1.1,2016,0,-2.229991362,14,0,9.8221191,0,8.885081704,0,1.764185898,22.45327506,0,0,0,0,1.603805362,5.54
IL,6,0,11.65827659,5.5666647,0,2.6,2004,0,-0.768613916,2,0,9.3065693,0,-15.30453753,0,-7.148229633,-5.498638179,0,0,1,-2.74931909,-2.74931909,5.5666647
MI,6,0,22.65594694,5.5666657,0,-8,2006,0,0.967607377,4,1,13.4710744,0,14.08652704,0,-20.24411423,10.12205711,0,2.530514278,1,2.530514278,2.530514278,5.5666657
MI,1,1,32.80865518,-5.5666657,1,-2.6,2004,0,1.455342439,2,0,15.7894737,3.271542575,-18.21158384,3.271542575,-8.506010694,6.543085149,0,0,0,0,3.271542575,5.5666657
MI,6,0,32.91225121,5.5666657,0,2.6,2004,0,1.006134643,2,0,14.0148392,0,10.90482428,0,5.093272107,3.917901621,0,0,1,1.95895081,1.95895081,5.5666657
MI,1,1,41.4327869,-5.5666657,1,8,2006,0,1.471919577,4,1,15.2270703,1.793846865,-9.985745813,1.793846865,14.35077492,7.175387459,0,1.793846865,0,0,1.793846865,5.5666657
AZ,1,0,8.305615292,5.5666667,0,-8,2006,0,-0.120514937,4,1,10.9166667,0,-0.133006716,0,0.191147375,-0.095573687,0,-0.023893422,1,-0.023893422,-0.023893422,5.5666667
PA,18,0,15.67015665,5.5666667,0,-8,2006,0,0.592290077,4,1,10.212766,0,-4.051387303,0,5.822352975,-2.911176487,0,-0.727794122,1,-0.727794122,-0.727794122,5.5666667
AZ,1,0,22.31647004,5.5666667,0,2.6,2004,1,0.681942629,2,0,12.562396,0,2.819559048,0,1.316919787,1.013015221,0.50650761,0,1,0.50650761,0.50650761,5.5666667
PA,18,0,25.52186075,5.5666667,0,2.6,2004,1,1.120678654,2,0,10.5045492,0,-8.635788207,0,-4.033481893,-3.102678379,-1.55133919,0,1,-1.55133919,-1.55133919,5.5666667
PA,3,1,-11.44483227,-5.58,0,-6.8,2010,1,-0.915611336,8,1,9.9440646,3.00234645,-16.75309319,0,-20.41595586,24.0187716,3.00234645,3.00234645,1,3.00234645,3.00234645,5.58
PA,3,0,-2.491336681,5.58,1,-10.6,2008,0,-0.607458044,6,0,21.9351292,0,37.99067246,6.80836424,-72.16866094,40.85018544,0,0,1,6.80836424,6.80836424,5.58
AZ,1,1,7.687653379,-5.6,1,8.6,2018,1,-0.294292832,16,1,22.993311,7.346998614,-41.14319224,7.346998614,63.18418808,117.5519778,7.346998614,7.346998614,0,0,7.346998614,5.6
WA,2,1,2.144668924,5.62,0,-6.8,2010,0,-1.879746731,8,1,4.5511222,-2.39059595,-13.43514924,0,16.25605246,-19.1247676,0,-2.39059595,1,-2.39059595,-2.39059595,5.62
WA,2,1,24.78426939,5.62,0,10.6,2008,0,-0.296794489,6,0,3.3732318,-2.31336811,-13.00112878,0,-24.52170197,-13.88020866,0,0,0,0,-2.31336811,5.62
NY,24,0,-0.907565735,-5.71,0,-8.6,2018,0,-0.174146222,16,1,11.3481229,0,-26.95823596,0,-40.60259707,75.53971547,0,4.721232217,1,4.721232217,4.721232217,5.71
NY,24,0,12.61139591,-5.71,0,1.1,2016,1,0.587131654,14,0,13.9570552,0,-32.76821375,0,6.312615608,80.34238046,5.738741462,0,0,0,5.738741462,5.71
NH,2,1,10.00445034,5.76667,1,-5.7,2014,1,-0.008790214,12,1,16.8765743,-0.46872481,-2.7029813,-0.46872481,2.671731417,-5.624697721,-0.46872481,-0.46872481,1,-0.46872481,-0.46872481,5.76667
VA,10,0,19.97022241,5.78,1,-10.6,2008,0,0.434376596,6,0,20.7065217,0,32.25099396,5.57975674,-59.14542144,33.47854044,0,0,1,5.57975674,5.57975674,5.78
VA,10,0,28.05577399,5.78,1,6.8,2010,0,0.099952936,8,1,19.9511897,0,16.10936158,2.787086778,18.95219009,22.29669422,0,2.787086778,0,0,2.787086778,5.78
WA,8,0,4.103240963,-5.82,1,6.8,2010,0,-0.572016681,8,1,23.9427861,0,-39.45193609,6.778683178,46.09504561,54.22946542,0,6.778683178,0,0,6.778683178,5.82
WA,8,0,5.568628315,-5.82,1,-10.6,2008,0,0.112749921,6,0,25.326087,0,-59.36005427,10.19932204,-108.1128136,61.19593224,0,0,1,10.19932204,10.19932204,5.82
CT,5,1,7.100214251,5.82,0,-6.8,2010,0,-0.679002572,8,1,5.5108359,-1.43088225,-8.327734692,0,9.729999297,-11.447058,0,-1.43088225,1,-1.43088225,-1.43088225,5.82
CT,5,1,14.29472968,5.82,0,10.6,2008,1,-1.376997839,6,0,4.7722343,-0.91436561,-5.32160785,0,-9.692275465,-5.48619366,-0.91436561,0,0,0,-0.91436561,5.82
NJ,7,0,-5.019489251,5.85,0,-8.6,2018,0,-0.991863497,16,1,14.439834,0,45.7057184,0,-67.19131253,125.0070931,0,7.812943317,1,7.812943317,7.812943317,5.85
NJ,7,0,10.95988476,5.85,0,1.1,2016,0,-0.756550377,14,0,8.9258699,0,4.139203546,0,0.778311778,9.905786263,0,0,0,0,0.707556162,5.85
WA,3,0,20.75921112,5.86664,0,-1.2,2012,1,0.560975541,10,0,17.9874214,0,10.2661511,0,-2.099904088,17.49920073,1.749920073,0,0,0,1.749920073,5.86664
FL,2,1,23.29695064,-5.8999997,1,-2.6,2004,0,0.684054457,2,0,20.0346921,7.516760975,-44.34888749,7.516760975,-19.54357853,15.03352195,0,0,0,0,7.516760975,5.8999997
WI,1,0,25.45031755,5.8999997,0,-8,2006,0,1.288192696,4,1,12.1035058,0,6.861379152,0,-9.303565425,4.651782713,0,1.162945678,1,1.162945678,1.162945678,5.8999997
WI,1,0,32.90165629,5.8999997,0,2.6,2004,0,1.062642788,2,0,13.0361648,0,5.783630527,0,2.548718667,1.960552821,0,0,1,0.98027641,0.98027641,5.8999997
FL,16,0,36.08345696,5.8999997,0,2.6,2004,0,1.581971736,2,0,10.7679466,0,-7.598856173,0,-3.348648653,-2.575883579,0,0,1,-1.28794179,-1.28794179,5.8999997
MI,8,0,12.34923771,5.9000007,0,-8,2006,0,0.261291086,4,1,9.5317726,0,-8.311847365,0,11.27030017,-5.635150087,0,-1.408787522,1,-1.408787522,-1.408787522,5.9000007
MI,8,0,24.15833563,5.9000007,0,2.6,2004,0,0.484182649,2,0,10.5527638,0,-8.868436131,0,-3.908123933,-3.006249179,0,0,1,-1.50312459,-1.50312459,5.9000007
MI,7,0,12.28558017,5.93344,0,5.7,2014,0,-1.333240998,12,1,7.106599,0,-4.592750881,0,-4.412057764,-9.288542661,0,-0.774045222,0,0,-0.774045222,5.93344
PA,6,0,14.2825636,5.96671,0,-1.2,2012,0,-0.07165295,10,0,21.2025316,0,29.62489578,0,-5.958036328,49.65030273,0,0,0,0,4.965030273,5.96671
NY,23,0,1.090437319,5.99991,0,-1.2,2012,0,-0.842075912,10,0,17.4984207,0,7.565402757,0,-1.513103248,12.60919373,0,0,0,0,1.260919373,5.99991
PA,7,0,18.79553319,6.03331,0,-1.2,2012,1,0.41752792,10,0,19.1798107,0,17.75186456,0,-3.530771248,29.42309373,2.942309373,0,0,0,2.942309373,6.03331
FL,22,1,16.06647046,6.06662,1,-5.7,2014,1,0.410191409,12,1,13.8959932,-3.44930591,-20.92562822,-3.44930591,19.66104369,-41.39167092,-3.44930591,-3.44930591,1,-3.44930591,-3.44930591,6.06662
CA,26,0,12.19481151,6.08,1,-10.6,2008,0,0.084549433,6,0,11.890411,0,-19.67703208,-3.23635396,34.30535198,-19.41812376,0,0,1,-3.23635396,-3.23635396,6.08
CA,26,0,17.60572506,6.08,1,6.8,2010,0,-0.519852441,8,1,16.6769611,0,-2.96182228,-0.487141822,-3.312564392,-3.897134578,0,-0.487141822,0,0,-0.487141822,6.08
PA,7,1,19.18527917,6.12,0,10.6,2008,1,-0.408895569,6,0,4.6332046,-1.05339531,-6.446779297,0,-11.16599029,-6.32037186,-1.05339531,0,0,0,-1.05339531,6.12
KS,3,0,-9.662552113,6.13,0,-8.6,2018,0,-2.649652083,16,1,7.2329689,0,3.71525947,0,-5.212272666,9.697251471,0,0.606078217,1,0.606078217,0.606078217,6.13
KS,3,0,10.70259652,6.13,0,1.1,2016,0,-0.969208417,14,0,7.4386503,0,-4.779336877,0,-0.857629782,-10.91528814,0,0,0,0,-0.779663438,6.13
NY,20,0,-8.918462172,6.2333327,0,-8,2006,0,-1.407077815,4,1,13.5135135,0,16.03807443,0,-20.58362703,10.29181351,0,2.572953378,1,2.572953378,2.572953378,6.2333327
OH,3,0,17.07375085,6.2333327,0,-8,2006,0,0.776670911,4,1,8.984047,0,-12.19559722,0,15.65210497,-7.826052487,0,-1.956513122,1,-1.956513122,-1.956513122,6.2333327
NY,20,0,20.580269,6.2333327,0,2.6,2004,0,0.098796062,2,0,13.0973451,0,6.491746168,0,2.707787447,2.082913421,0,0,1,1.04145671,1.04145671,6.2333327
OH,3,0,24.57614811,6.2333327,0,2.6,2004,1,0.973217671,2,0,10.6365159,0,-8.847420953,0,-3.690368473,-2.838744979,-1.41937249,0,1,-1.41937249,-1.41937249,6.2333327
NC,2,1,24.59014986,-6.2333327,1,-2.6,2004,0,1.130040637,2,0,13.4822167,0.964285575,-6.010712804,0.964285575,-2.507142494,1.928571149,0,0,0,0,0.964285575,6.2333327
NC,2,1,33.05019186,-6.2333327,1,8,2006,0,0.950814101,4,1,15.255658,1.822434565,-11.35984097,1.822434565,14.57947652,7.289738259,0,1.822434565,0,0,1.822434565,6.2333327
WI,7,0,12.28796477,6.23341,0,-1.2,2012,1,0.082316106,10,0,16.4974619,0,1.620440837,0,-0.311952688,2.599605732,0.259960573,0,0,0,0.259960573,6.23341
OH,10,0,33.64954189,6.26662,0,5.7,2014,0,1.349575854,12,1,8.6336966,0,4.719093094,0,4.292398556,9.036628539,0,0.753052378,0,0,0.753052378,6.26662
WA,1,1,7.872350798,6.26673,1,1.2,2012,1,-0.790069591,10,0,10.9090909,-5.326442796,-33.37937886,-5.326442796,-6.391731355,-53.26442796,-5.326442796,0,1,-5.326442796,-5.326442796,6.26673
NY,2,0,1.559591571,6.29,0,-8.6,2018,0,-0.952003078,16,1,8.462867,0,11.54829103,0,-15.78939633,29.37562107,0,1.835976317,1,1.835976317,1.835976317,6.29
NY,2,0,17.41478561,6.29,0,1.1,2016,0,-0.064342961,14,0,9.5019157,0,8.073856339,0,1.411962158,17.97042746,0,0,0,0,1.283601962,6.29
